Rule,Instance,Algorithm,Run,Type,Group,Param_Value,Precision,Recall,F1,ED,HV,Time
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,LEARNING_RATE,0.05,0.9902152641878669,0.7784615384615384,0.8355620010131888,0.22175443850291174,0.7708444979677855,77.2464029788971
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_14,Q_GUIDED,14,SENS,POP_SIZE,50,0.9716981132075472,0.7923076923076923,0.8328495177451072,0.20961176367410547,0.7698838896952104,44.989943742752075
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_12,Q_GUIDED,12,SENS,HYBRID_RATIO,0.99,1.0,0.7461538461538462,0.8200305906749998,0.25384615384615383,0.7461538461538462,110.42376708984375
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,HYBRID_RATIO,0.3,0.9960474308300395,0.7753846153846153,0.8370556778861278,0.22465015871118474,0.7723198540589845,69.9191563129425
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,LEARNING_RATE,0.4,0.9940357852882704,0.7692307692307693,0.83178716322729,0.23084629026031603,0.764642911760208,78.158700466156
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,POP_SIZE,250,0.9980119284294234,0.7723076923076924,0.8361848844501059,0.2277009868463864,0.7707722893408778,88.4757387638092
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,LEARNING_RATE,0.5,0.998019801980198,0.7753846153846153,0.838232795242141,0.2246241131092448,0.7738492003046458,76.0398759841919
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_14,Q_GUIDED,14,SENS,POP_SIZE,100,0.9920477137176938,0.7676923076923077,0.8295883026158819,0.23244376258020177,0.7615873986848142,53.923535108566284
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,POP_SIZE,300,1.0,0.7830769230769231,0.8445408272579347,0.21692307692307689,0.7830769230769231,96.14889693260193
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,HYBRID_RATIO,0.5,1.0,0.7830769230769231,0.8445408272579347,0.21692307692307689,0.7830769230769231,75.34703755378723
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,GREEDY_RATIO,0.2,0.9941060903732809,0.7784615384615384,0.8379255433114638,0.22161684979151824,0.7738733565059694,76.57969903945923
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,GREEDY_RATIO,0.1,0.99800796812749,0.7707692307692308,0.8351617907801419,0.2292394245174928,0.7692338338951885,78.1847095489502
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,HYBRID_RATIO,0.7,0.9959595959595959,0.7584615384615384,0.8258246025855671,0.24157225268473323,0.7553970473970473,84.86194515228271
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_14,Q_GUIDED,14,SENS,POP_SIZE,150,0.993963782696177,0.76,0.8256689382099532,0.24007589616481487,0.7554124748490946,63.18911838531494
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,GREEDY_RATIO,0.4,0.9769230769230769,0.7815384615384615,0.8292834020354456,0.21967700873254917,0.7635029585798816,73.3830840587616
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,GREEDY_RATIO,0.5,0.996031746031746,0.7723076923076924,0.8350086655112652,0.2277268847145744,0.7692429792429794,75.29362177848816
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_14,Q_GUIDED,14,SENS,LEARNING_RATE,0.05,1.0,0.7938461538461539,0.8517526856229112,0.20615384615384613,0.7938461538461539,70.55717062950134
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_14,Q_GUIDED,14,SENS,LEARNING_RATE,0.4,1.0,0.78,0.8424860490651745,0.21999999999999997,0.78,70.44658994674683
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_14,Q_GUIDED,14,SENS,HYBRID_RATIO,0.3,1.0,0.7784615384615384,0.8414595784837999,0.22153846153846157,0.7784615384615384,68.34139823913574
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_14,Q_GUIDED,14,SENS,LEARNING_RATE,0.15,0.9960552268244576,0.7769230769230769,0.838080064423641,0.22311179898175248,0.7738582916097709,73.80680799484253
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_13,Q_GUIDED,13,SENS,HYBRID_RATIO,0.99,1.0,0.7384615384615385,0.8149596396149185,0.2615384615384615,0.7384615384615385,102.99653482437134
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_14,Q_GUIDED,14,SENS,GREEDY_RATIO,0.1,1.0,0.7692307692307693,0.835313112674432,0.23076923076923073,0.7692307692307693,66.8597559928894
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_15,Q_GUIDED,15,SENS,POP_SIZE,50,0.9980392156862745,0.7830769230769231,0.8433629959213942,0.21693193858189735,0.7815414781297134,43.4427490234375
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_14,Q_GUIDED,14,SENS,LEARNING_RATE,0.5,0.9979919678714859,0.7646153846153846,0.8310749774164408,0.23539318034470003,0.7630800123571208,75.32242608070374
migrationRule1,migrationRule1/num_iter_100pop_size_100/input/input_CO/run_14,Q_GUIDED,14,SENS,HYBRID_RATIO,0.5,0.9942196531791907,0.7938461538461539,0.848205629557212,0.2062348677925062,0.7892574477545575,73.35540127754211
